"","x","m","loc","dens"
"58","A","i",-1.89852052666292,-0.00153568132375609
"59","A","i",-1.76804939050844,-0.00163104040219155
"60","A","i",-1.63757825435397,-0.00173072572251833
"61","A","i",-1.5071071181995,-0.00183675107867999
"62","A","i",-1.37663598204502,-0.00194653738658071
"63","A","i",-1.24616484589055,-0.00206091834713553
"64","A","i",-1.11569370973608,-0.00218223734905893
"65","A","i",-0.985222573581604,-0.00230759414299548
"66","A","i",-0.854751437427131,-0.00243776604650429
"67","A","i",-0.724280301272657,-0.00257542832443603
"68","A","i",-0.593809165118184,-0.002717365106657
"69","A","i",-0.463338028963712,-0.00286427636836215
"70","A","i",-0.332866892809239,-0.00301915721028981
"71","A","i",-0.202395756654765,-0.00317849465619487
"72","A","i",-0.0719246205002921,-0.00334289217712695
"73","A","i",0.0585465156541805,-0.00351563542977934
"74","A","i",0.189017651808655,-0.0036929479346927
"75","A","i",0.319488787963127,-0.00387532080326702
"76","A","i",0.4499599241176,-0.00406628116111128
"77","A","i",0.580431060272074,-0.00426183947248914
"78","A","i",0.710902196426547,-0.00446236350736884
"79","A","i",0.84137333258102,-0.00467155101071201
"80","A","i",0.971844468735492,-0.00488526787684
"81","A","i",1.10231560488997,-0.00510375394278789
"82","A","i",1.23278674104444,-0.0053307838902647
"83","A","i",1.36325787719891,-0.00556216600382285
"84","A","i",1.49372901335339,-0.00579801532556301
"85","A","i",1.62420014950786,-0.00604206703563307
"86","A","i",1.75467128566233,-0.00629017673028362
"87","A","i",1.88514242181681,-0.00654234655098694
"88","A","i",2.01561355797128,-0.00680213443545327
"89","A","i",2.14608469412575,-0.00706556456200006
"90","A","i",2.27655583028022,-0.0073326304389155
"91","A","i",2.4070269664347,-0.00760630760790834
"92","A","i",2.53749810258917,-0.00788317274141863
"93","A","i",2.66796923874364,-0.00816313406074665
"94","A","i",2.79844037489812,-0.00844848759669239
"95","A","i",2.92891151105259,-0.00873643419198577
"96","A","i",3.05938264720706,-0.00902682123660025
"97","A","i",3.18985378336154,-0.00932120522627463
"98","A","i",3.32032491951601,-0.00961744255215313
"99","A","i",3.45079605567048,-0.00991535926144746
"100","A","i",3.58126719182495,-0.010215734101882
"101","A","i",3.71173832797943,-0.0105170867736749
"102","A","i",3.8422094641339,-0.0108192688547949
"103","A","i",3.97268060028837,-0.0111222676704998
"104","A","i",4.10315173644285,-0.0114252494188331
"105","A","i",4.23362287259732,-0.0117281434238735
"106","A","i",4.36409400875179,-0.0120301580527092
"107","A","i",4.49456514490627,-0.0123310650879398
"108","A","i",4.62503628106074,-0.0126309264775689
