"","QCno","pr.y","group","metric"
"99",9,-0.833333333333333,"Moving Range CUSUM+","Retention Time"
"100",10,-0.833333333333333,"Moving Range CUSUM+","Retention Time"
"101",11,-0.833333333333333,"Moving Range CUSUM+","Retention Time"
"102",12,-0.833333333333333,"Moving Range CUSUM+","Retention Time"
"103",13,-0.833333333333333,"Moving Range CUSUM+","Retention Time"
"104",14,-0.833333333333333,"Moving Range CUSUM+","Retention Time"
"105",15,-0.833333333333333,"Moving Range CUSUM+","Retention Time"
"106",16,-0.833333333333333,"Moving Range CUSUM+","Retention Time"
"107",17,-0.833333333333333,"Moving Range CUSUM+","Retention Time"
"108",18,-0.833333333333333,"Moving Range CUSUM+","Retention Time"
"109",19,-0.833333333333333,"Moving Range CUSUM+","Retention Time"
"110",20,-0.833333333333333,"Moving Range CUSUM+","Retention Time"
"111",21,-0.833333333333333,"Moving Range CUSUM+","Retention Time"
"112",22,-0.833333333333333,"Moving Range CUSUM+","Retention Time"
"113",23,-0.833333333333333,"Moving Range CUSUM+","Retention Time"
"114",24,-0.833333333333333,"Moving Range CUSUM+","Retention Time"
"115",25,-0.833333333333333,"Moving Range CUSUM+","Retention Time"
"116",26,-0.833333333333333,"Moving Range CUSUM+","Retention Time"
"117",27,-0.833333333333333,"Moving Range CUSUM+","Retention Time"
"118",28,-0.833333333333333,"Moving Range CUSUM+","Retention Time"
"119",29,-0.833333333333333,"Moving Range CUSUM+","Retention Time"
"120",30,-0.833333333333333,"Moving Range CUSUM+","Retention Time"
"121",31,-0.833333333333333,"Moving Range CUSUM+","Retention Time"
"122",32,-0.833333333333333,"Moving Range CUSUM+","Retention Time"
"123",33,-0.833333333333333,"Moving Range CUSUM+","Retention Time"
"124",34,-0.833333333333333,"Moving Range CUSUM+","Retention Time"
"125",35,-0.833333333333333,"Moving Range CUSUM+","Retention Time"
"126",36,-0.833333333333333,"Moving Range CUSUM+","Retention Time"
"127",37,-0.833333333333333,"Moving Range CUSUM+","Retention Time"
"128",38,-0.833333333333333,"Moving Range CUSUM+","Retention Time"
"129",39,-0.833333333333333,"Moving Range CUSUM+","Retention Time"
"130",40,-0.833333333333333,"Moving Range CUSUM+","Retention Time"
"131",41,-0.833333333333333,"Moving Range CUSUM+","Retention Time"
"132",42,-0.833333333333333,"Moving Range CUSUM+","Retention Time"
"133",43,-0.833333333333333,"Moving Range CUSUM+","Retention Time"
"134",44,-0.833333333333333,"Moving Range CUSUM+","Retention Time"
"135",45,-0.833333333333333,"Moving Range CUSUM+","Retention Time"
"136",1,0,"Moving Range CUSUM-","Retention Time"
"137",2,0,"Moving Range CUSUM-","Retention Time"
"138",3,0,"Moving Range CUSUM-","Retention Time"
"139",4,0,"Moving Range CUSUM-","Retention Time"
"140",5,0,"Moving Range CUSUM-","Retention Time"
"141",6,0,"Moving Range CUSUM-","Retention Time"
"142",7,0,"Moving Range CUSUM-","Retention Time"
"143",8,0,"Moving Range CUSUM-","Retention Time"
"144",9,0,"Moving Range CUSUM-","Retention Time"
"145",10,0,"Moving Range CUSUM-","Retention Time"
"146",11,0,"Moving Range CUSUM-","Retention Time"
"147",12,0,"Moving Range CUSUM-","Retention Time"
"148",13,0,"Moving Range CUSUM-","Retention Time"
"149",14,0,"Moving Range CUSUM-","Retention Time"
"150",15,0,"Moving Range CUSUM-","Retention Time"
"151",16,0,"Moving Range CUSUM-","Retention Time"
"152",17,0,"Moving Range CUSUM-","Retention Time"
"153",18,0,"Moving Range CUSUM-","Retention Time"
"154",19,0,"Moving Range CUSUM-","Retention Time"
"155",20,0,"Moving Range CUSUM-","Retention Time"
"156",21,0,"Moving Range CUSUM-","Retention Time"
"157",22,0,"Moving Range CUSUM-","Retention Time"
"158",23,0,"Moving Range CUSUM-","Retention Time"
"159",24,0,"Moving Range CUSUM-","Retention Time"
"160",25,0,"Moving Range CUSUM-","Retention Time"
"161",26,0,"Moving Range CUSUM-","Retention Time"
"162",27,0,"Moving Range CUSUM-","Retention Time"
"163",28,0,"Moving Range CUSUM-","Retention Time"
"164",29,0,"Moving Range CUSUM-","Retention Time"
"165",30,0,"Moving Range CUSUM-","Retention Time"
"166",31,0,"Moving Range CUSUM-","Retention Time"
"167",32,0,"Moving Range CUSUM-","Retention Time"
"168",33,0,"Moving Range CUSUM-","Retention Time"
"169",34,0,"Moving Range CUSUM-","Retention Time"
"170",35,0,"Moving Range CUSUM-","Retention Time"
"171",36,0,"Moving Range CUSUM-","Retention Time"
"172",37,0,"Moving Range CUSUM-","Retention Time"
"173",38,0,"Moving Range CUSUM-","Retention Time"
"174",39,0,"Moving Range CUSUM-","Retention Time"
"175",40,0,"Moving Range CUSUM-","Retention Time"
"176",41,0,"Moving Range CUSUM-","Retention Time"
"177",42,0,"Moving Range CUSUM-","Retention Time"
"178",43,0,"Moving Range CUSUM-","Retention Time"
"179",44,0,"Moving Range CUSUM-","Retention Time"
"180",45,0,"Moving Range CUSUM-","Retention Time"
"181",1,0,"Individual Value CUSUM+","Peak Assymetry"
"182",2,0,"Individual Value CUSUM+","Peak Assymetry"
"183",3,0,"Individual Value CUSUM+","Peak Assymetry"
"184",4,0,"Individual Value CUSUM+","Peak Assymetry"
"185",5,0,"Individual Value CUSUM+","Peak Assymetry"
"186",6,0,"Individual Value CUSUM+","Peak Assymetry"
"187",7,0,"Individual Value CUSUM+","Peak Assymetry"
"188",8,0,"Individual Value CUSUM+","Peak Assymetry"
"189",9,0.166666666666667,"Individual Value CUSUM+","Peak Assymetry"
"190",10,0.166666666666667,"Individual Value CUSUM+","Peak Assymetry"
"191",11,0.166666666666667,"Individual Value CUSUM+","Peak Assymetry"
"192",12,0.166666666666667,"Individual Value CUSUM+","Peak Assymetry"
"193",13,0.333333333333333,"Individual Value CUSUM+","Peak Assymetry"
"194",14,0.166666666666667,"Individual Value CUSUM+","Peak Assymetry"
"195",15,0,"Individual Value CUSUM+","Peak Assymetry"
"196",16,0,"Individual Value CUSUM+","Peak Assymetry"
"197",17,0,"Individual Value CUSUM+","Peak Assymetry"
"198",18,0,"Individual Value CUSUM+","Peak Assymetry"
"199",19,0,"Individual Value CUSUM+","Peak Assymetry"
"200",20,0.166666666666667,"Individual Value CUSUM+","Peak Assymetry"
"201",21,0.166666666666667,"Individual Value CUSUM+","Peak Assymetry"
"202",22,0.166666666666667,"Individual Value CUSUM+","Peak Assymetry"
"203",23,0.166666666666667,"Individual Value CUSUM+","Peak Assymetry"
"204",24,0.166666666666667,"Individual Value CUSUM+","Peak Assymetry"
"205",25,0.166666666666667,"Individual Value CUSUM+","Peak Assymetry"
"206",26,0.166666666666667,"Individual Value CUSUM+","Peak Assymetry"
"207",27,0.333333333333333,"Individual Value CUSUM+","Peak Assymetry"
"208",28,0.166666666666667,"Individual Value CUSUM+","Peak Assymetry"
"209",29,0.166666666666667,"Individual Value CUSUM+","Peak Assymetry"
"210",30,0.166666666666667,"Individual Value CUSUM+","Peak Assymetry"
"211",31,0.166666666666667,"Individual Value CUSUM+","Peak Assymetry"
"212",32,0.166666666666667,"Individual Value CUSUM+","Peak Assymetry"
"213",33,0.166666666666667,"Individual Value CUSUM+","Peak Assymetry"
"214",34,0.166666666666667,"Individual Value CUSUM+","Peak Assymetry"
"215",35,0.166666666666667,"Individual Value CUSUM+","Peak Assymetry"
"216",36,0.166666666666667,"Individual Value CUSUM+","Peak Assymetry"
"217",37,0.166666666666667,"Individual Value CUSUM+","Peak Assymetry"
"218",38,0.166666666666667,"Individual Value CUSUM+","Peak Assymetry"
"219",39,0.166666666666667,"Individual Value CUSUM+","Peak Assymetry"
"220",40,0.333333333333333,"Individual Value CUSUM+","Peak Assymetry"
"221",41,0.166666666666667,"Individual Value CUSUM+","Peak Assymetry"
"222",42,0.166666666666667,"Individual Value CUSUM+","Peak Assymetry"
"223",43,0.333333333333333,"Individual Value CUSUM+","Peak Assymetry"
"224",44,0.166666666666667,"Individual Value CUSUM+","Peak Assymetry"
"225",45,0.166666666666667,"Individual Value CUSUM+","Peak Assymetry"
"226",1,0,"Individual Value CUSUM-","Peak Assymetry"
"227",2,0,"Individual Value CUSUM-","Peak Assymetry"
"228",3,0,"Individual Value CUSUM-","Peak Assymetry"
"229",4,0,"Individual Value CUSUM-","Peak Assymetry"
"230",5,0,"Individual Value CUSUM-","Peak Assymetry"
"231",6,0,"Individual Value CUSUM-","Peak Assymetry"
"232",7,0,"Individual Value CUSUM-","Peak Assymetry"
"233",8,0,"Individual Value CUSUM-","Peak Assymetry"
"234",9,0,"Individual Value CUSUM-","Peak Assymetry"
"235",10,0,"Individual Value CUSUM-","Peak Assymetry"
"236",11,0,"Individual Value CUSUM-","Peak Assymetry"
"237",12,0,"Individual Value CUSUM-","Peak Assymetry"
"238",13,0,"Individual Value CUSUM-","Peak Assymetry"
"239",14,0,"Individual Value CUSUM-","Peak Assymetry"
"240",15,0,"Individual Value CUSUM-","Peak Assymetry"
"241",16,0,"Individual Value CUSUM-","Peak Assymetry"
"242",17,0,"Individual Value CUSUM-","Peak Assymetry"
"243",18,0,"Individual Value CUSUM-","Peak Assymetry"
"244",19,0.166666666666667,"Individual Value CUSUM-","Peak Assymetry"
"245",20,0.333333333333333,"Individual Value CUSUM-","Peak Assymetry"
"246",21,0.333333333333333,"Individual Value CUSUM-","Peak Assymetry"
"247",22,0.333333333333333,"Individual Value CUSUM-","Peak Assymetry"
"248",23,0.166666666666667,"Individual Value CUSUM-","Peak Assymetry"
"249",24,0.166666666666667,"Individual Value CUSUM-","Peak Assymetry"
"250",25,0.166666666666667,"Individual Value CUSUM-","Peak Assymetry"
"251",26,0.166666666666667,"Individual Value CUSUM-","Peak Assymetry"
"252",27,0.166666666666667,"Individual Value CUSUM-","Peak Assymetry"
"253",28,0.166666666666667,"Individual Value CUSUM-","Peak Assymetry"
"254",29,0.166666666666667,"Individual Value CUSUM-","Peak Assymetry"
"255",30,0.166666666666667,"Individual Value CUSUM-","Peak Assymetry"
"256",31,0.166666666666667,"Individual Value CUSUM-","Peak Assymetry"
"257",32,0.166666666666667,"Individual Value CUSUM-","Peak Assymetry"
"258",33,0.166666666666667,"Individual Value CUSUM-","Peak Assymetry"
"259",34,0.166666666666667,"Individual Value CUSUM-","Peak Assymetry"
